,state_id,attraction,reviews_url,region,new_categories
98,MI,Lakenenland Sculpture Park,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d618207-Reviews-Lakenenland_Sculpture_Park-Marquette_Upper_Peninsula_Michigan.html,East North Central,Cultura
99,MI,Colonial Michilimackinac,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d105698-Reviews-Colonial_Michilimackinac-Mackinaw_City_Cheboygan_County_Michigan.html,East North Central,Naturaleza
100,MI,Kitch-Iti-Kipi (The Big Spring),https://www.tripadvisor.com.ar/Attraction_Review-g42430-d8782846-Reviews-Kitch_Iti_Kipi_The_Big_Spring-Manistique_Upper_Peninsula_Michigan.html,East North Central,
101,MI,Quincy Mine,https://www.tripadvisor.com.ar/Attraction_Review-g42276-d667426-Reviews-Quincy_Mine-Hancock_Upper_Peninsula_Michigan.html,East North Central,Historia
102,MI,Saugatuck Dune Rides,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d2181753-Reviews-Saugatuck_Dune_Rides-Saugatuck_Allegan_County_Michigan.html,East North Central,
103,MI,Museo de Henry Ford,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d103793-Reviews-Henry_Ford_Museum_of_American_Innovation-Dearborn_Michigan.html,East North Central,Ciencia
104,MI,Frederik Meijer Gardens & Sculpture Park,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d251807-Reviews-Frederik_Meijer_Gardens_Sculpture_Park-Grand_Rapids_Kent_County_Michigan.html,East North Central,Naturaleza
105,MI,Detroit Institute of Arts,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d265439-Reviews-Detroit_Institute_of_Arts-Detroit_Michigan.html,East North Central,Cultura
106,MI,Pictured Rocks National Lakeshore,https://www.tripadvisor.com.ar/Attraction_Review-g42497-d134013-Reviews-Pictured_Rocks_National_Lakeshore-Munising_Upper_Peninsula_Michigan.html,East North Central,
107,MI,Motown Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d216637-Reviews-Motown_Museum-Detroit_Michigan.html,East North Central,Ciencia
108,MI,Porcupine Mountains Wilderness State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42554-d134274-Reviews-Porcupine_Mountains_Wilderness_State_Park-Ontonagon_Upper_Peninsula_Michigan.html,East North Central,Naturaleza
109,MI,Ludington State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42416-d2044388-Reviews-Ludington_State_Park-Ludington_Michigan.html,East North Central,Naturaleza
110,MI,Ford Field,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d560598-Reviews-Ford_Field-Detroit_Michigan.html,East North Central,Deportes
111,MI,Great Lakes Shipwreck Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42575-d1008116-Reviews-Great_Lakes_Shipwreck_Museum-Paradise_Upper_Peninsula_Michigan.html,East North Central,Ciencia
112,MI,Mission Point Lighthouse,https://www.tripadvisor.com.ar/Attraction_Review-g42758-d6690374-Reviews-Mission_Point_Lighthouse-Traverse_City_Grand_Traverse_County_Michigan.html,East North Central,
113,MI,Castle Rock,https://www.tripadvisor.com.ar/Attraction_Review-g42671-d1840645-Reviews-Castle_Rock-Saint_Ignace_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,
114,MI,Bronner's Christmas Wonderland,https://www.tripadvisor.com.ar/Attraction_Review-g42216-d659395-Reviews-Bronner_s_Christmas_Wonderland-Frankenmuth_Michigan.html,East North Central,
115,MI,Bell's Comstock Brewery,https://www.tripadvisor.com.ar/Attraction_Review-g42231-d657799-Reviews-Bell_s_Comstock_Brewery-Galesburg_Kalamazoo_County_Michigan.html,East North Central,Comida
116,MI,Sable Falls,https://www.tripadvisor.com.ar/Attraction_Review-g42255-d4740011-Reviews-Sable_Falls-Grand_Marais_Upper_Peninsula_Michigan.html,East North Central,Naturaleza
117,OH,Museo Nacional de la Fuerza Aérea de Estados Unidos,https://www.tripadvisor.com.ar/Attraction_Review-g60785-d603950-Reviews-National_Museum_of_the_US_Air_Force-Dayton_Ohio.html,East North Central,Ciencia
118,OH,Rock & Roll Hall of Fame,https://www.tripadvisor.com.ar/Attraction_Review-g50207-d123133-Reviews-Rock_Roll_Hall_of_Fame-Cleveland_Ohio.html,East North Central,Ciencia
119,OH,Cleveland Museum of Art,https://www.tripadvisor.com.ar/Attraction_Review-g50207-d137616-Reviews-Cleveland_Museum_of_Art-Cleveland_Ohio.html,East North Central,Cultura
120,OH,Cedar Point Amusement Park,https://www.tripadvisor.com.ar/Attraction_Review-g50940-d102765-Reviews-Cedar_Point-Sandusky_Ohio.html,East North Central,Deportes
121,OH,Cincinnati Zoo & Botanical Garden,https://www.tripadvisor.com.ar/Attraction_Review-g60993-d105691-Reviews-Cincinnati_Zoo_Botanical_Garden-Cincinnati_Ohio.html,East North Central,Naturaleza
122,OH,West Side Market,https://www.tripadvisor.com.ar/Attraction_Review-g50207-d272156-Reviews-West_Side_Market-Cleveland_Ohio.html,East North Central,Historia
123,OH,A Christmas Story House,https://www.tripadvisor.com.ar/Attraction_Review-g50207-d638635-Reviews-A_Christmas_Story_House-Cleveland_Ohio.html,East North Central,Ciencia
124,OH,Easton Town Center,https://www.tripadvisor.com.ar/Attraction_Review-g50226-d256675-Reviews-Easton_Town_Center-Columbus_Ohio.html,East North Central,
125,OH,Great American Ball Park,https://www.tripadvisor.com.ar/Attraction_Review-g60993-d274056-Reviews-Great_American_Ball_Park-Cincinnati_Ohio.html,East North Central,Deportes
