,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
395,México,Habitación con vistas a la bahía - 1 cama extragrande,2,En familia,"Great location and building, rooms are really nice",12695.0,0,2023-10-18,0.7
396,Estados Unidos,Habitación con 2 camas grandes,1,En grupo,clean and beds were comfortable,12695.0,1,2023-10-17,0.38333333333333336
398,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,En pareja,"Room size and cleanliness was positive. Very little outside noise. 
We are locals and enjoyed a night on the town. All walkable!",12695.0,1,2023-10-16,0.15213068181818182
399,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,Room was beautiful. The hotel itself was inviting and the staff was pleasant.,12695.0,1,2023-10-15,0.7916666666666666
401,Sudáfrica,Habitación con cama extragrande y acceso al club,4,Persona que viaja sola,"Location
Comfort
The view 
The balcony 
The room was spectacular",12695.0,0,2023-10-14,0.6
402,Pakistán,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,Persona que viaja sola,The hotel is located at a very convenient location. The ambiance of the hotel is great. all staff were very helpful and smiling. room was spacious and beds comfortable. Rooms were clean and with all amenities. The buffet breakfast was ok. Would definitely recommend the hotel.,12695.0,0,2023-10-13,0.3523809523809524
403,Sri Lanka,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,En familia,Superb staff and helpful not like majority of other hotels in USA that you need to carry all your bags all alone. This hotel they have the services that I expected. I would say one of the hotels really do the service business properly. Majority of other hotels has just turned to profit protected by now.,12695.0,0,2023-10-13,0.1416666666666667
404,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,1,En grupo,Great location. Comfortable room.,12695.0,1,2023-10-10,0.6000000000000001
407,Israel,Habitación con cama extragrande.,1,En familia,Good location. Nice and clean hotel,12695.0,0,2023-10-06,0.5555555555555555
409,República Checa,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,Persona que viaja sola,"I can compare this hotel with other (expensive 5 stars) hotels in SF-downtown or warf surroundings , which visited we in the past .. Hyatt Regency is fabulous !",12695.0,0,2023-10-04,-0.09375
410,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,The view!!! Really nice and clean room. Great location. The sweetest lady at the reception recommended us a room with the best view and organised an extra bed for our son. Nice design of the room and the lobby.,12695.0,1,2023-10-03,0.5611111111111111
411,Estados Unidos,Habitación con cama extragrande.,1,Persona que viaja sola,The parking cost is outrageous,12695.0,1,2023-10-03,-1.0
412,Estados Unidos,Habitación con 2 camas grandes,1,En familia,"Very good lobby and friendly staff . Room upgraded to ocean view high floor king suit , which are very good.",12695.0,1,2023-10-03,0.5887499999999999
413,Estados Unidos,Habitación con cama extragrande.,1,En familia,"Location, friendly staff, & clean room & hotel.",12695.0,1,2023-10-02,0.37083333333333335
414,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En pareja,Loved the location,12695.0,1,2023-10-01,0.7
415,Canadá,Habitación con vistas a la bahía - 1 cama extragrande,2,En familia,The hotel was over the top with amenities. We loved the regency club,12695.0,0,2023-09-28,0.6
416,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,En familia,I love it,12695.0,1,2023-09-26,0.5
419,Alemania,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,9,En pareja,The bay view from the balcony. The PC with the fast internet in the lobby. The friendly staff.,12695.0,0,2023-09-23,0.2875
421,Estados Unidos,Habitación con 2 camas grandes,2,En familia,Nice clean hotel and kind helpful staff.,12695.0,1,2023-09-17,0.5222222222222223
425,Malasia,Habitación Doble con 2 camas dobles y vistas a la bahía,6,En grupo,All the staff are friendly and helpful.. We love the stay,12695.0,0,2023-09-06,0.4375
427,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,"Beautiful hotel, great location. The lobby and elevators are very cool. Our room was comfortable and well-appointed, with a lovely view of the bay. And high marks for cleanliness!! The shower had awesome water pressure. All of the employees we spoke to (front desk, valet, bar) were very nice and helpful. Overall, this was a superb hotel. Highly recommend.",12695.0,1,2023-08-31,0.5631818181818182
429,Kuwait,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En familia,Huge nice hotel and great location.,12695.0,0,2023-08-28,0.6
430,Nueva Zelanda,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,3,En familia,"Huge room, great view, clean, amazing building.",12695.0,0,2023-08-27,0.5416666666666667
431,Australia,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4,En pareja,"Everything.
All staff so friendly.
Great room.",12695.0,0,2023-08-26,0.5875
433,Kenia,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,3,En familia,The hotel itself was amazing. Tashi at reception had amazing customer service skills.,12695.0,0,2023-08-21,0.6000000000000001
434,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,"Stunning view of the SF bay from our 11th floor balcony! Beautiful building & perfect location across from the Ferry building for dining, shopping & lovely to be able to walk along the Embarcadero. King size room was spacious, well appointed & super clean. Comfortable bed & bath & staff we encountered were friendly & helpful. Appreciated the checkout @ noon.",12695.0,1,2023-08-21,0.5150000000000001
435,Canadá,Habitación con 2 camas grandes,4,Persona que viaja sola,"Location was convenient to transit and all amenities and attractions. Clean, comfortable and spacious.",12695.0,0,2023-08-19,0.38333333333333336
436,Sudáfrica,Habitación con vistas a la bahía - 1 cama extragrande,3,En familia,"The property was modern, excellent location, cleanliness and professional staff. Excellent value for a four star hotel.",12695.0,0,2023-08-17,0.575
